V_Name,Country,Latitude,Longitude
Mono Craters,United States,37.88,-119
Inyo Craters,United States,37.692,-119.02
Mammoth Mountain,United States,37.631,-119.032
Ubehebe Craters,United States,37.02,-117.45
Golden Trout Creek,United States,36.358,-118.32
Coso Volcanic Field,United States,36.03,-117.82
Lavic Lake,United States,34.75,-116.625
Salton Buttes,United States,33.2,-115.62
Shoshone Lava Field,United States,43.18,-114.35
Craters of the Moon,United States,43.42,-113.5
Wapi Lava Field,United States,42.88,-113.22
Hell's Half Acre,United States,43.5,-112.45
Yellowstone,United States,44.43,-110.67
Soda Lakes,United States,39.53,-118.87
Markagunt Plateau,United States,37.58,-112.67
Black Rock Desert,United States,38.97,-112.5
Carrizozo,United States,33.78,-105.93
Zuni-Bandera,United States,34.8,-108
Dotsero,United States,39.661,-107.035
Uinkaret Field,United States,36.38,-113.13
Sunset Crater,United States,35.37,-111.5
Endeavour Ridge,Undersea Features,47.95,-129.1
Cobb Segment,Undersea Features,46.88,-129.33
CoAxial Segment,Undersea Features,46.52,-129.58
Axial Seamount,Undersea Features,45.95,-130
Cleft Segment,Undersea Features,44.83,-130.3
North Gorda Ridge,United States,42.67,-126.78
Escanaba Segment,United States,40.98,-127.5
Unnamed,United States,31.75,-124.25
Loihi,United States,18.92,-155.27
Kilauea,United States,19.421,-155.287
Mauna Loa,United States,19.475,-155.608
Mauna Kea,United States,19.82,-155.47
Hualalai,United States,19.692,-155.87
Haleakala,United States,20.708,-156.25
Unnamed,United States,21.75,-158.75
Unnamed,United States,23.58,-163.83
Teahitia,France,-17.57,-148.85
Rocard,France,-17.642,-148.6
Moua Pihaa,France,-18.32,-148.67
Mehetia,France,-17.87,-148.07
Adams Seamount,Undersea Features,-25.37,-129.27
Macdonald,Undersea Features,-28.98,-140.25
Northern EPR-Segment RO2,Undersea Features,16.55,-105.32
Northern EPR-Segment RO3,Undersea Features,15.83,-105.43
Unnamed,Undersea Features,10.73,-103.58
Unnamed,Undersea Features,9.83,-104.3
Gal?pagos Rift,Undersea Features,0.792,-86.15
Unnamed,Undersea Features,-8.27,-107.95
Southern EPR-Segment K,Undersea Features,-17.436,-113.206
Southern EPR-Segment J,Undersea Features,-18.175,-113.35
Southern EPR-Segment I,Undersea Features,-18.53,-113.42
Antipodes Island,New Zealand,-49.68,178.77
Unnamed,Undersea Features,-53.9,-140.3
Unnamed,Undersea Features,-55.97,-143.17
"Prieto, Cerro",Mexico,32.418,-115.305
Pinacate,Mexico,31.772,-113.498
San Quint?n Volcanic Field,Mexico,30.468,-115.996
"San Luis, Isla",Mexico,29.97,-114.4
Jaraguay Volcanic Field,Mexico,29.33,-114.5
Coronado,Mexico,29.08,-113.513
Guadalupe,Mexico,29.07,-118.28
San Borja Volcanic Field,Mexico,28.5,-113.75
Unnamed,Mexico,28,-115
Tres V?rgenes,Mexico,27.47,-112.591
"Tortuga, Isla",Mexico,27.43,-111.88
Comond?-La Pur?sima,Mexico,26,-111.92
B?rcena,Mexico,19.3,-110.82
Socorro,Mexico,18.78,-110.95
Durango Volcanic Field,Mexico,24.15,-104.45
"Isabel, Isla",Mexico,21.848,-105.886
Sangang?ey,Mexico,21.45,-104.73
Ceboruco,Mexico,21.125,-104.508
Mascota Volcanic Field,Mexico,20.62,-104.83
Colima,Mexico,19.514,-103.62
Michoac?n-Guanajuato,Mexico,19.85,-101.75
Zit?cuaro-Valle de Bravo,Mexico,19.4,-100.25
Jocotitl?n,Mexico,19.73,-99.758
"Toluca, Nevado de",Mexico,19.108,-99.758
Chichinautzin,Mexico,19.08,-99.13
Papayo,Mexico,19.308,-98.7
Iztacc?huatl,Mexico,19.179,-98.642
Popocat?petl,Mexico,19.023,-98.622
"Malinche, La",Mexico,19.231,-98.032
Serd?n-Oriental,Mexico,19.27,-97.47
"Humeros, Los",Mexico,19.68,-97.45
"Atlixcos, Los",Mexico,19.809,-96.526
Naolinco Volcanic Field,Mexico,19.67,-96.75
Cofre de Perote,Mexico,19.492,-97.15
"Gloria, La",Mexico,19.33,-97.25
"Cumbres,  Las",Mexico,19.15,-97.27
"Orizaba, Pico de",Mexico,19.03,-97.268
San Mart?n,Mexico,18.57,-95.2
"Chich?n, El",Mexico,17.36,-93.228
Tacan?,Mexico-Guatemala,15.13,-92.112
Tajumulco,Guatemala,15.034,-91.903
Santa Mar?a,Guatemala,14.756,-91.552
Almolonga,Guatemala,14.82,-91.48
Atitl?n,Guatemala,14.583,-91.186
Tolim?n,Guatemala,14.612,-91.189
Acatenango,Guatemala,14.501,-90.876
Fuego,Guatemala,14.473,-90.88
Agua,Guatemala,14.465,-90.743
Pacaya,Guatemala,14.381,-90.601
Cuilapa-Barbarena,Guatemala,14.33,-90.4
Tecuamburro,Guatemala,14.156,-90.407
Jumaytepeque,Guatemala,14.336,-90.269
Moyuta,Guatemala,14.03,-90.1
Flores,Guatemala,14.308,-89.992
Tahual,Guatemala,14.43,-89.9
"Santiago, Cerro",Guatemala,14.33,-89.87
Suchit?n,Guatemala,14.4,-89.78
Chingo,Guatemala-El Salvador,14.12,-89.73
Ixtepeque,Guatemala,14.42,-89.68
Ipala,Guatemala,14.55,-89.63
Chiquimula Volcanic Field,Guatemala,14.83,-89.55
Quezaltepeque,Guatemala,14.57,-89.45
San Diego,El Salvador-Guatemala,14.27,-89.48
"Sing?il, Cerro",El Salvador,14.05,-89.65
Apaneca Range,El Salvador,13.891,-89.786
Santa Ana,El Salvador,13.853,-89.63
Izalco,El Salvador,13.813,-89.633
Coatepeque Caldera(s),El Salvador,13.87,-89.55
San Salvador,El Salvador,13.734,-89.294
"Cinotepeque, Cerro",El Salvador,14.02,-89.25
Guazapa,El Salvador,13.9,-89.12
Ilopango,El Salvador,13.672,-89.053
San Vicente,El Salvador,13.595,-88.837
Apastepeque Field,El Salvador,13.72,-88.77
Taburete,El Salvador,13.435,-88.532
Tecapa,El Salvador,13.494,-88.502
Usulut?n,El Salvador,13.419,-88.471
"Tigre, El",El Salvador,13.47,-88.43
Chinameca,El Salvador,13.478,-88.33
San Miguel,El Salvador,13.434,-88.269
"Aramuaca, Laguna",El Salvador,13.428,-88.105
Conchagua,El Salvador,13.275,-87.845
Conchag?ita,El Salvador,13.229,-87.767
"Tigre, Isla el",Honduras,13.272,-87.641
"Zacate Grande, Isla",Honduras,13.33,-87.63
"Yojoa, Lake",Honduras,14.98,-87.98
Utila Island,Honduras,16.1,-86.9
Cosig?ina,Nicaragua,12.98,-87.57
San Crist?bal,Nicaragua,12.702,-87.004
Telica,Nicaragua,12.602,-86.845
Rota,Nicaragua,12.55,-86.75
"Negro, Cerro",Nicaragua,12.506,-86.702
"Pilas, Las",Nicaragua,12.495,-86.688
Momotombo,Nicaragua,12.422,-86.54
Apoyeque,Nicaragua,12.242,-86.342
Nejapa-Miraflores,Nicaragua,12.12,-86.32
Masaya,Nicaragua,11.984,-86.161
Granada,Nicaragua,11.92,-85.98
Mombacho,Nicaragua,11.826,-85.968
Zapatera,Nicaragua,11.73,-85.82
Concepci?n,Nicaragua,11.538,-85.622
Maderas,Nicaragua,11.446,-85.515
Estel?,Nicaragua,13.17,-86.4
"Ciguatepe, Cerro el",Nicaragua,12.53,-86.142
"Lajas, Las",Nicaragua,12.3,-85.73
"Azul, Volc?n",Nicaragua,12.53,-83.87
Oros?,Costa Rica,10.98,-85.473
Rinc?n de la Vieja,Costa Rica,10.83,-85.324
Miravalles,Costa Rica,10.748,-85.153
Tenorio,Costa Rica,10.673,-85.015
Arenal,Costa Rica,10.463,-84.703
Platanar,Costa Rica,10.3,-84.366
Po?s,Costa Rica,10.2,-84.233
Barva,Costa Rica,10.135,-84.1
Iraz?,Costa Rica,9.979,-83.852
Turrialba,Costa Rica,10.025,-83.767
Bar?,Panama,8.808,-82.543
"Valle, El",Panama,8.58,-80.17
Romeral,Colombia,5.206,-75.364
"Bravo, Cerro",Colombia,5.092,-75.3
"Ruiz, Nevado del",Colombia,4.895,-75.322
Santa Isabel,Colombia,4.82,-75.37
"Tolima, Nevado del",Colombia,4.67,-75.33
Mach?n,Colombia,4.48,-75.392
"Huila, Nevado del",Colombia,2.93,-76.03
Purac?,Colombia,2.32,-76.4
Sotar?,Colombia,2.108,-76.592
Petacas,Colombia,1.57,-76.78
Do?a Juana,Colombia,1.47,-76.92
Galeras,Colombia,1.22,-77.37
Azufral,Colombia,1.08,-77.68
Cumbal,Colombia,0.95,-77.87
"Negro de Mayasquer, Cerro",Colombia-Ecuador,0.828,-77.964
Soche,Ecuador,0.552,-77.58
Chachimbiro,Ecuador,0.468,-78.287
Cuicocha,Ecuador,0.308,-78.364
Imbabura,Ecuador,0.258,-78.183
Mojanda,Ecuador,0.13,-78.27
Cayambe,Ecuador,0.029,-77.986
Reventador,Ecuador,-0.077,-77.656
Pululagua,Ecuador,0.038,-78.463
Guagua Pichincha,Ecuador,-0.171,-78.598
Atacazo,Ecuador,-0.353,-78.617
Chacana,Ecuador,-0.375,-78.25
Antisana,Ecuador,-0.481,-78.141
Aliso,Ecuador,-0.53,-78
Sumaco,Ecuador,-0.538,-77.626
Illiniza,Ecuador,-0.659,-78.714
Cotopaxi,Ecuador,-0.677,-78.436
Quilotoa,Ecuador,-0.85,-78.9
Chimborazo,Ecuador,-1.464,-78.815
Tungurahua,Ecuador,-1.467,-78.442
Licto,Ecuador,-1.78,-78.613
Sangay,Ecuador,-2.002,-78.341
Fernandina,Ecuador,-0.37,-91.55
Ecuador,Ecuador,-0.02,-91.546
Wolf,Ecuador,0.02,-91.35
Darwin,Ecuador,-0.18,-91.28
Alcedo,Ecuador,-0.43,-91.12
"Negra, Sierra",Ecuador,-0.83,-91.17
"Azul, Cerro",Ecuador,-0.92,-91.408
Pinta,Ecuador,0.58,-90.75
Marchena,Ecuador,0.33,-90.47
Genovesa,Ecuador,0.32,-89.958
Santiago,Ecuador,-0.22,-90.77
Santa Cruz,Ecuador,-0.62,-90.33
San Crist?bal,Ecuador,-0.88,-89.5
Quimsachata,Peru,-14.2,-71.33
"Auquihuato, Cerro",Peru,-15.07,-73.18
Sara Sara,Peru,-15.33,-73.45
Coropuna,Peru,-15.52,-72.65
Andahua-Orcopampa,Peru,-15.42,-72.33
Huambo,Peru,-15.83,-72.13
Sabancaya,Peru,-15.78,-71.85
"Chachani, Nevado",Peru,-16.191,-71.53
"Nicholson, Cerro",Peru,-16.258,-71.753
"Misti, El",Peru,-16.294,-71.409
Ubinas,Peru,-16.355,-70.903
Huaynaputina,Peru,-16.608,-70.85
Ticsani,Peru,-16.755,-70.595
Tutupaca,Peru,-17.025,-70.358
Yucamane,Peru,-17.18,-70.2
"Casiri, Nevados",Peru,-17.47,-69.813
Tacora,Chile-Peru,-17.72,-69.77
Taapaca,Chile,-18.1,-69.5
Parinacota,Chile-Bolivia,-18.17,-69.15
Guallatiri,Chile,-18.42,-69.092
Tambo Quemado,Bolivia,-18.62,-68.75
Isluga,Chile,-19.15,-68.83
Tata Sabaya,Bolivia,-19.13,-68.53
"Jayu Khota, Laguna",Bolivia,-19.45,-67.42
Nuevo Mundo,Bolivia,-19.78,-66.48
Irruputuncu,Chile-Bolivia,-20.73,-68.55
Pampa Luxsar,Bolivia,-20.85,-68.2
Olca-Paruma,Chile-Bolivia,-20.93,-68.48
Ollag?e,Chile-Bolivia,-21.3,-68.18
"Azufre, Cerro del",Chile,-21.787,-68.237
San Pedro,Chile,-21.88,-68.4
Putana,Chile,-22.55,-67.85
Sairecabur,Chile-Bolivia,-22.72,-67.892
Licancabur,Chile-Bolivia,-22.83,-67.88
Guayaques,Chile-Bolivia,-22.895,-67.566
Purico Large cone(s),Chile,-23,-67.75
Colachi,Chile,-23.236,-67.645
Acamarachi,Chile,-23.3,-67.62
"Overo, Cerro",Chile,-23.52,-67.67
Chiliques,Chile,-23.58,-67.7
L?scar,Chile,-23.37,-67.73
Cord?n de Puntas Negras,Chile,-23.743,-67.534
Mi?iques,Chile,-23.82,-67.77
"Tujle, Cerro",Chile,-23.83,-67.95
Caichinque,Chile,-23.95,-67.73
Tilocalar,Chile,-23.97,-68.13
"Negrillar, El",Chile,-24.18,-68.25
Pular,Chile,-24.188,-68.054
"Negrillar, La",Chile,-24.28,-68.6
Socompa,Chile-Argentina,-24.4,-68.25
Llullaillaco,Chile-Argentina,-24.72,-68.53
"Escorial, Cerro",Chile-Argentina,-25.08,-68.37
Lastarria,Chile-Argentina,-25.17,-68.5
Cord?n del Azufre,Chile-Argentina,-25.33,-68.52
"Bayo, Cerro",Chile-Argentina,-25.42,-68.58
"Nevada, Sierra",Chile-Argentina,-26.48,-68.58
Falso Azufre,Chile-Argentina,-26.8,-68.37
"Incahuasi, Nevado de",Chile-Argentina,-27.042,-68.28
"Ojos del Salado, Nevados",Chile-Argentina,-27.12,-68.55
"Solo, El",Chile-Argentina,-27.108,-68.72
Copiap?,Chile,-27.3,-69.13
"Tuzgle, Cerro",Argentina,-24.05,-66.48
Aracar,Argentina,-24.25,-67.77
Unnamed,Argentina,-25.1,-68.27
Antofagasta de la Sierra,Argentina,-26.08,-67.5
"C?ndor, Cerro el",Argentina,-26.62,-68.35
Peinado,Argentina,-26.62,-68.15
Robledo,Argentina,-26.77,-67.72
Tipas,Argentina,-27.2,-68.55
San F?lix,Chile,-26.28,-80.12
Easter Island,Chile,-27.15,-109.38
Robinson Crusoe,Chile,-33.658,-78.85
Unnamed,Chile,-33.62,-76.83
Tupungatito,Chile-Argentina,-33.4,-69.8
San Jos?,Chile-Argentina,-33.782,-69.897
Maipo,Chile-Argentina,-34.161,-69.833
Palomo,Chile,-34.608,-70.295
"Atuel, Caldera(s) del",Argentina,-34.65,-70.05
Risco Plateado,Argentina,-34.93,-70
Tinguiririca,Chile,-34.814,-70.352
Planch?n-Peteroa,Chile,-35.24,-70.57
Infiernillo,Argentina,-35.142,-69.83
Calabozos,Chile,-35.558,-70.496
Descabezado Grande,Chile,-35.58,-70.75
"Azul, Cerro",Chile,-35.653,-70.761
"Maule, Laguna del",Chile,-36.02,-70.58
San Pedro-Pellado,Chile,-35.989,-70.849
"Longav?, Nevado de",Chile,-36.193,-71.161
"Blancas, Lomas",Chile,-36.286,-71.009
Resago,Chile,-36.45,-70.92
Pay?n Matru,Argentina,-36.42,-69.2
Domuyo,Argentina,-36.58,-70.42
"Chill?n, Nevados de",Chile,-36.863,-71.377
Cochiquito Volcanic Group,Argentina,-36.77,-69.82
Tromen,Argentina,-37.142,-70.03
Puesto Cortaderas,Argentina,-37.57,-69.62
Antuco,Chile,-37.406,-71.349
Trocon,Argentina,-37.73,-70.9
Copahue,Chile-Argentina,-37.85,-71.17
Callaqui,Chile,-37.92,-71.45
"Mari?aqui, Laguna",Chile,-38.27,-71.1
Tolguaca,Chile,-38.31,-71.645
Lonquimay,Chile,-38.377,-71.58
Tralihue,Argentina,-38.52,-70.9
"Blanca, Laguna",Argentina,-39.02,-70.37
Llaima,Chile,-38.692,-71.729
Sollipulli,Chile,-38.97,-71.52
Caburgua-Huelemolle,Chile,-39.25,-71.7
Villarrica,Chile,-39.42,-71.93
Quetrupillan,Chile,-39.5,-71.7
Lan?n,Chile-Argentina,-39.633,-71.5
Huanquihue Group,Argentina,-39.88,-71.58
Mocho-Choshuenco,Chile,-39.927,-72.027
Carr?n-Los Venados,Chile,-40.35,-72.07
Puyehue-Cord?n Caulle,Chile,-40.59,-72.117
"Pantoja, Cerro",Chile-Argentina,-40.77,-71.95
Antillanca Group,Chile,-40.771,-72.153
Puntiagudo-Cord?n Cenizos,Chile,-40.969,-72.264
Osorno,Chile,-41.1,-72.493
Tronador,Chile-Argentina,-41.157,-71.885
Cayutu?-La Viguer?a,Chile,-41.25,-72.27
Calbuco,Chile,-41.326,-72.614
Cuernos del Diablo,Chile,-41.4,-72
Yate,Chile,-41.755,-72.396
Hornopir?n,Chile,-41.874,-72.431
Apagado,Chile,-41.88,-72.58
Crater Basalt Volcanic Field,Argentina,-42.02,-70.18
Huequi,Chile,-42.377,-72.578
Minchinm?vida,Chile,-42.793,-72.439
Chait?n,Chile,-42.833,-72.646
Yanteles,Chile,-43.5,-72.8
Corcovado,Chile,-43.18,-72.8
Palena Volcanic Group,Chile,-43.78,-72.47
Melimoyu,Chile,-44.08,-72.88
Puyuhuapi,Chile,-44.3,-72.53
Mentolat,Chile,-44.7,-73.08
Cay,Chile,-45.059,-72.984
Maca,Chile,-45.1,-73.17
"Hudson, Cerro",Chile,-45.9,-72.97
R?o Murta,Chile,-46.17,-72.67
Arenales,Chile,-47.2,-73.48
Lautaro,Chile,-49.02,-73.55
Viedma,Argentina,-49.358,-73.28
Aguilera,Chile,-50.33,-73.75
Reclus,Chile,-50.964,-73.585
"Burney, Monte",Chile,-52.33,-73.4
Palei-Aike Volcanic Field,Chile-Argentina,-52,-70
Fueguino,Chile,-54.95,-70.25
Saba,Netherlands,17.63,-63.23
"Quill, The",Netherlands,17.478,-62.96
Liamuiga,Saint Kitts and Nevis,17.37,-62.8
Nevis Peak,Saint Kitts and Nevis,17.15,-62.58
Soufri?re Hills,United Kingdom,16.72,-62.18
Soufri?re Guadeloupe,France,16.05,-61.67
"Diables, Morne aux",Dominica,15.612,-61.43
"Diablotins, Morne",Dominica,15.503,-61.397
"Trois Pitons, Morne",Dominica,15.37,-61.33
"Watt, Morne",Dominica,15.307,-61.305
"Plat Pays, Morne",Dominica,15.255,-61.341
Pel?e,France,14.82,-61.17
Qualibou,Saint Lucia,13.83,-61.05
Soufri?re St. Vincent,Saint Vincent and the Grenadines,13.33,-61.18
Kick 'em Jenny,Grenada,12.3,-61.64
St. Catherine,Grenada,12.15,-61.67
Snaefellsj?kull,Iceland,64.8,-23.78
Helgrindur,Iceland,64.87,-23.25
Lj?sufj?ll,Iceland,64.87,-22.23
Reykjanes,Iceland,63.88,-22.5
Kr?suv?k,Iceland,63.93,-22.1
Brennisteinsfj?ll,Iceland,63.92,-21.83
Hengill,Iceland,64.08,-21.32
Hr?mundartindur,Iceland,64.073,-21.202
Gr?msnes,Iceland,64.03,-20.87
Prestahnukur,Iceland,64.6,-20.58
Hveravellir,Iceland,64.75,-19.98
Hofsj?kull,Iceland,64.78,-18.92
Vestmannaeyjar,Iceland,63.43,-20.28
Eyjafjallaj?kull,Iceland,63.63,-19.62
Katla,Iceland,63.63,-19.05
Tindfjallaj?kull,Iceland,63.78,-19.57
Torfaj?kull,Iceland,63.92,-19.17
Hekla,Iceland,63.98,-19.7
Gr?msv?tn,Iceland,64.42,-17.33
B?rdarbunga,Iceland,64.63,-17.53
Tungnafellsj?kull,Iceland,64.73,-17.92
Kverkfj?ll,Iceland,64.65,-16.72
Askja,Iceland,65.03,-16.75
Fremrinamur,Iceland,65.43,-16.65
Krafla,Iceland,65.73,-16.78
Theistareykjarbunga,Iceland,65.88,-16.83
Tj?rnes Fracture Zone,Iceland,66.3,-17.1
?raefaj?kull,Iceland,64,-16.65
Esjufj?ll,Iceland,64.27,-16.65
Kolbeinsey Ridge,Iceland,66.67,-18.5
Jan Mayen,Norway,71.08,-8.17
Unnamed,Undersea Features,88.27,-65.6
Unnamed,Undersea Features,85.58,85
Unnamed,Undersea Features,49,-34.5
Unnamed,Undersea Features,39.95,-25.83
Unnamed,Undersea Features,38.75,-38.08
Flores,Portugal,39.462,-31.216
Corvo,Portugal,39.699,-31.111
Fayal,Portugal,38.6,-28.73
Pico,Portugal,38.47,-28.4
San Jorge,Portugal,38.65,-28.08
Graciosa,Portugal,39.02,-27.97
Terceira,Portugal,38.73,-27.32
Don Joao de Castro Bank,Portugal,38.23,-26.63
Sete Cidades,Portugal,37.87,-25.78
Picos Volcanic System,Portugal,37.78,-25.67
Agua de Pau,Portugal,37.77,-25.47
Furnas,Portugal,37.77,-25.32
Monaco Bank,Portugal,37.6,-25.88
Madeira,Portugal,32.73,-16.97
La Palma,Spain,28.57,-17.83
Hierro,Spain,27.73,-18.03
Tenerife,Spain,28.271,-16.641
Gran Canaria,Spain,28,-15.58
Fuerteventura,Spain,28.358,-14.02
Lanzarote,Spain,29.03,-13.63
Fogo,Cape Verde,14.95,-24.35
Brava,Cape Verde,14.85,-24.72
Sao Vicente,Cape Verde,16.85,-24.97
Unnamed,Undersea Features,7,-21.83
Unnamed,Undersea Features,4.2,-21.45
Unnamed,Undersea Features,-0.72,-20.53
Unnamed,Undersea Features,-3.5,-24.5
Ascensi?n,United Kingdom,-7.95,-14.37
Trindade,Brazil,-20.514,-29.331
Unnamed,Undersea Features,-32.958,-5.22
Tristan da Cunha,United Kingdom,-37.092,-12.28
Nightingale Island,United Kingdom,-37.42,-12.48
Bouvet,Norway,-54.42,3.35
Thompson Island,Norway,-53.93,5.5
Buckle Island,Antarctica,-66.78,163.25
Young Island,Antarctica,-66.42,162.47
Sturge Island,Antarctica,-67.4,164.83
"Pleiades, The",Antarctica,-72.67,165.5
Unnamed,Antarctica,-73.45,164.58
Melbourne,Antarctica,-74.35,164.7
Unnamed,Antarctica,-76.83,163
"Morning, Mt.",Antarctica,-78.5,163.53
Erebus,Antarctica,-77.53,167.17
Royal Society Range,Antarctica,-78.25,163.33
Berlin,Antarctica,-76.05,-136
Andrus,Antarctica,-75.8,-132.33
Waesche,Antarctica,-77.17,-126.88
Siple,Antarctica,-73.43,-126.67
Toney Mountain,Antarctica,-75.8,-115.83
Takahe,Antarctica,-76.28,-112.08
Hudson Mountains,Antarctica,-74.33,-99.42
Peter I Island,Antarctica,-68.85,-90.58
Deception Island,Antarctica,-62.97,-60.65
Penguin Island,Antarctica,-62.1,-57.93
Bridgeman Island,Antarctica,-62.05,-56.75
Paulet,Antarctica,-63.58,-55.77
Seal Nunataks Group,Antarctica,-65.03,-60.05
Thule Islands,United Kingdom,-59.45,-27.37
Bristol Island,United Kingdom,-59.03,-26.58
Montagu Island,United Kingdom,-58.42,-26.33
Michael,United Kingdom,-57.78,-26.45
Candlemas Island,United Kingdom,-57.08,-26.67
Hodson,United Kingdom,-56.7,-27.15
Leskov Island,United Kingdom,-56.67,-28.13
Zavodovski,United Kingdom,-56.3,-27.57
Protector Shoal,United Kingdom,-55.92,-28.08
